,number,value,datetime_start,datetime_complete,duration,params_context_size,params_num_layers,params_spline_layer,params_spline_num_layers,state
0,0,829.3666753617474,2024-11-14 13:17:50.111692,2024-11-14 13:32:33.025885,0 days 00:14:42.914193,59,5,155,4,COMPLETE
1,1,436.2689371150461,2024-11-14 13:32:33.027056,2024-11-14 13:44:50.763062,0 days 00:12:17.736006,34,4,171,4,COMPLETE
2,2,330.48974710785905,2024-11-14 13:44:50.764361,2024-11-14 13:53:35.898284,0 days 00:08:45.133923,60,5,108,3,COMPLETE
3,3,472.6804490943392,2024-11-14 13:53:35.899581,2024-11-14 14:02:08.689292,0 days 00:08:32.789711,49,5,100,2,COMPLETE
4,4,704.0658676920983,2024-11-14 14:02:08.690622,2024-11-14 14:15:52.497882,0 days 00:13:43.807260,19,4,247,4,COMPLETE
5,5,328.1130050539527,2024-11-14 14:15:52.498998,2024-11-14 14:20:28.884505,0 days 00:04:36.385507,31,4,100,2,COMPLETE
6,6,655.6448957306502,2024-11-14 14:20:28.887894,2024-11-14 14:30:46.572117,0 days 00:10:17.684223,34,5,63,2,COMPLETE
7,7,1239.1112832166941,2024-11-14 14:30:46.573398,2024-11-14 14:40:59.713911,0 days 00:10:13.140513,45,6,82,2,COMPLETE
8,8,1173.7745921049109,2024-11-14 14:40:59.715399,2024-11-14 14:51:44.292366,0 days 00:10:44.576967,51,3,174,4,COMPLETE
9,9,1313.7417216678305,2024-11-14 14:51:44.293572,2024-11-14 15:02:47.500868,0 days 00:11:03.207296,14,6,40,5,COMPLETE
10,10,1526.5252924822803,2024-11-14 15:02:47.502124,2024-11-14 15:08:26.792563,0 days 00:05:39.290439,24,3,223,3,COMPLETE
11,11,547.1271130071121,2024-11-14 15:08:26.793920,2024-11-14 15:20:38.842465,0 days 00:12:12.048545,63,7,115,3,COMPLETE
12,12,751.2186274479593,2024-11-14 15:20:38.843711,2024-11-14 15:27:55.327797,0 days 00:07:16.484086,29,4,123,3,COMPLETE
13,13,936.088508675509,2024-11-14 15:27:55.329018,2024-11-14 15:43:28.155035,0 days 00:15:32.826017,41,6,135,2,COMPLETE
14,14,557.5828761354433,2024-11-14 15:43:28.156601,2024-11-14 15:56:57.125679,0 days 00:13:28.969078,8,4,74,3,COMPLETE
15,15,407.18757079602574,2024-11-14 15:56:57.126739,2024-11-14 16:04:14.720563,0 days 00:07:17.593824,56,3,37,2,COMPLETE
16,16,1615.9966554939442,2024-11-14 16:04:14.721921,2024-11-14 16:20:17.279140,0 days 00:16:02.557219,39,7,105,3,COMPLETE
17,17,587.718524708704,2024-11-14 16:20:17.280342,2024-11-14 16:28:54.598694,0 days 00:08:37.318352,26,4,198,5,COMPLETE
18,18,397.039351396875,2024-11-14 16:28:54.599864,2024-11-14 16:35:58.018677,0 days 00:07:03.418813,54,5,142,2,COMPLETE
19,19,701.6232960378743,2024-11-14 16:35:58.020068,2024-11-14 16:46:17.161131,0 days 00:10:19.141063,31,6,91,3,COMPLETE
20,20,519.914946801437,2024-11-14 16:46:17.162527,2024-11-14 17:00:46.284634,0 days 00:14:29.122107,64,5,57,2,COMPLETE
21,21,380.53980169009884,2024-11-14 17:00:46.286036,2024-11-14 17:07:49.914639,0 days 00:07:03.628603,57,5,144,2,COMPLETE
22,22,440.4348226700412,2024-11-14 17:07:49.915890,2024-11-14 17:23:53.161420,0 days 00:16:03.245530,44,5,159,2,COMPLETE
23,23,417.3188198043049,2024-11-14 17:23:53.162547,2024-11-14 17:37:13.788450,0 days 00:13:20.625903,59,4,122,3,COMPLETE
24,24,1653.0111066554014,2024-11-14 17:37:13.789722,2024-11-14 17:49:08.545116,0 days 00:11:54.755394,48,6,189,2,COMPLETE
25,25,748.4213889504982,2024-11-14 17:49:08.546673,2024-11-14 18:05:40.686056,0 days 00:16:32.139383,53,5,131,3,COMPLETE
26,26,713.9098253726545,2024-11-14 18:05:40.687439,2024-11-14 18:17:37.173211,0 days 00:11:56.485772,39,4,107,2,COMPLETE
27,27,400.031971697881,2024-11-14 18:17:37.174462,2024-11-14 18:22:06.386063,0 days 00:04:29.211601,60,3,88,2,COMPLETE
28,28,821.6962973284608,2024-11-14 18:22:06.387547,2024-11-14 18:35:29.165800,0 days 00:13:22.778253,21,4,151,3,COMPLETE
29,29,423.0658665518476,2024-11-14 18:35:29.167122,2024-11-14 18:49:08.533894,0 days 00:13:39.366772,61,5,162,4,COMPLETE
30,30,1694.7160989179804,2024-11-14 18:49:08.535238,2024-11-14 19:03:42.650772,0 days 00:14:34.115534,57,6,63,5,COMPLETE
31,31,557.5789076640841,2024-11-14 19:03:42.652129,2024-11-14 19:20:18.388143,0 days 00:16:35.736014,54,5,140,2,COMPLETE
32,32,337.47465287592325,2024-11-14 19:20:18.389196,2024-11-14 19:36:35.425240,0 days 00:16:17.036044,57,5,181,2,COMPLETE
33,33,334.9101424451699,2024-11-14 19:36:35.426426,2024-11-14 19:51:09.071959,0 days 00:14:33.645533,48,5,195,2,COMPLETE
34,34,372.82759549239637,2024-11-14 19:51:09.073386,2024-11-14 20:02:56.184143,0 days 00:11:47.110757,43,4,210,2,COMPLETE
35,35,364.12216223429255,2024-11-14 20:02:56.185605,2024-11-14 20:12:56.433414,0 days 00:10:00.247809,48,5,181,2,COMPLETE
36,36,817.8120104657213,2024-11-14 20:12:56.434963,2024-11-14 20:29:36.334750,0 days 00:16:39.899787,34,5,236,4,COMPLETE
37,37,550.3308419497554,2024-11-14 20:29:36.335921,2024-11-14 20:42:50.278088,0 days 00:13:13.942167,49,4,256,2,COMPLETE
38,38,1632.2431438606427,2024-11-14 20:42:50.279075,2024-11-14 21:00:23.591261,0 days 00:17:33.312186,37,6,202,3,COMPLETE
39,39,752.7215039246045,2024-11-14 21:00:23.592667,2024-11-14 21:16:24.449372,0 days 00:16:00.856705,51,5,171,2,COMPLETE
40,40,855.395201485361,2024-11-14 21:16:24.450669,2024-11-14 21:33:56.409532,0 days 00:17:31.958863,31,6,234,3,COMPLETE
41,41,444.30749719197115,2024-11-14 21:33:56.411143,2024-11-14 21:50:00.404991,0 days 00:16:03.993848,46,5,186,2,COMPLETE
42,42,351.4123284341725,2024-11-14 21:50:00.406182,2024-11-14 22:01:34.362184,0 days 00:11:33.956002,47,5,186,2,COMPLETE
43,43,611.3054999397615,2024-11-14 22:01:34.363671,2024-11-14 22:17:32.908815,0 days 00:15:58.545144,52,5,215,2,COMPLETE
44,44,325.7625663585552,2024-11-14 22:17:32.910140,2024-11-14 22:30:43.346210,0 days 00:13:10.436070,63,5,170,2,COMPLETE
45,45,707.9383570970616,2024-11-14 22:30:43.347728,2024-11-14 22:43:51.712997,0 days 00:13:08.365269,62,4,167,2,COMPLETE
46,46,359.943926891804,2024-11-14 22:43:51.714275,2024-11-14 22:54:25.772557,0 days 00:10:34.058282,58,5,198,4,COMPLETE
47,47,432.5260540944483,2024-11-14 22:54:25.773810,2024-11-14 23:00:20.806681,0 days 00:05:55.032871,64,4,152,3,COMPLETE
48,48,1677.1779653386827,2024-11-14 23:00:20.808041,2024-11-14 23:15:53.485664,0 days 00:15:32.677623,55,6,97,2,COMPLETE
49,49,383.33195644749543,2024-11-14 23:15:53.487007,2024-11-14 23:23:19.347072,0 days 00:07:25.860065,60,3,77,2,COMPLETE
